Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Labels,Labels,Labels,Created,Reporter,Reporter Id,Custom field (Story Points),Custom field (Quarter Plan),Custom field (Quarter Plan),Assignee,Assignee Id,Remaining Estimate,Time Spent,Custom field (Total Work Level Hours)
Enabler,AWAMWRS-8061,2445042,[SG] Enhance transaction feed to handle Reversed status for transaction in PSPL feed,2514626,AWAMWRS-8140,[SG] SG Small Enhancements Q4 2025,Medium,To Do,SG,,,8/13/25 14:44,James Foo,712020:f094b568-b1b2-4083-b6c5-95d9bc7b0e6e,3,2025.4,,Grant Chen,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,,,
Story,AWAMWRS-7993,2406890,[HK/Phoenix] Implement Document List Read-Only Mode with Historical Data Access,1691999,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,Critical,Validating,,,,8/6/25 16:04,David Lam,712020:c4113417-f9d8-40e6-99a1-cf3865496505,1,2026.1,,Faye Chen,62d070fabb346bdf82faed3a,,,
Story,AWAMWRS-7960,2392751,[HK/Reporting] Operation Reporting (Country Risk Changes) (Internal Reporting Day 2),1836753,AWAMWRS-6754,[HK/Phoenix] Day 2 - Ops Reporting and Workflow (2025 Part 1),TBD,To Do,InternalReporting,Reporting,,8/5/25 16:56,Dorothy Lo,62f606ecda8620d533958439,3,2026.1,,Stephen Wang,712020:1b3c7415-dfe6-416d-8f93-dc64e9ff7c57,,,
Story,AWAMWRS-7815,2318036,[HK/Phoenix] Enhancement for Update address/contact with roles and new design,1879965,AWAMWRS-6976,[HK/Phoenix] Account Sub Tab Address Cleanup & Enhancement (Day 2 Data Fields/Process Enhancement),High,In progress,,,,7/22/25 15:16,Candy Mok,61a80b67b43d5b006a6ef66b,8,2026.1,,Maximilien Garcia,632a13542eaaa5dcfa1199bf,,,
Story,AWAMWRS-7497,2067999,[HK] PnL Feed Processing/Data SpotCheck - Exception Reporting,2764924,AWAMWRS-8384,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading,Medium,To Do,,,,6/16/25 12:39,Joey Lam,62d06e192c801edc32859a3a,8,2026.1,,Grant Chen,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,,,
Sub-task,AWAMWRS-7468,2049263,"[HK/Phoenix] Adding soft warning message when the Maker or the Checker clicks ""Submit"" button during Individual/Corporate Maintenance",1691012,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,High,Validating,Enhancement,,,6/12/25 16:16,Joan Ching,712020:3df01112-e9ff-472f-96b5-b710d9dc2c77,3,2025.4,,Faye Chen,62d070fabb346bdf82faed3a,,,
Story,AWAMWRS-7459,2044211,[SG] Patch missing address for existing user on production,2672999,AWAMWRS-8314,[SG] KLO SG Production Fixes Q4 2025,Medium,To Do,SG,,,6/11/25 16:17,James Foo,712020:f094b568-b1b2-4083-b6c5-95d9bc7b0e6e,3,2026.1,,Oliver Liu,712020:7b1c7c70-c493-4c02-b1c0-c3de2e6eb7ee,,,
Story,AWAMWRS-6998,1890336,[HK/Phoenix] Review clients not finish client merge,1693723,AWAMWRS-5796,[HK/Phoenix] Client Merge/Client Clone process Enhancements (Day 2 Process Enhancement ),Medium,To Do,Enhancement,,,5/15/25 16:15,Ricky Kwan Ki Kwok,5f9f5acf81b2880078e15c88,3,2026.1,,Dylan Cheng,6042517281a8400068f38991,,,
Story,AWAMWRS-6742,1831376,[HK/Phoenix] Design to Support Phoenix Access Control for different Users,2884970,AWAMWRS-8511,[HK/Phoenix]  Phoenix General Function Enhancement (25Q4),Critical,To Do,,,,4/22/25 17:59,Joey Lam,62d06e192c801edc32859a3a,8,2026.1,,Maximilien Garcia,632a13542eaaa5dcfa1199bf,,,
Story,AWAMWRS-5221,1599353,[HK/Phoenix] Day 2 Enhancement: Integrate Account Maintenance into Phoenix Design,816784,AWAMWRS-3076,[HK/Phoenix] Account Termination/ Account Status Update/Account Reactivate (Day 2 Process Enhancement),Critical,To Do,Enhancement,,,12/17/24 16:30,Candy Mok,61a80b67b43d5b006a6ef66b,5,2026.1,,Maximilien Garcia,632a13542eaaa5dcfa1199bf,,,
Sub-task,AWAMWRS-9119,1546828,[HK] Check and review similar Client profiles in PROD,1890336,AWAMWRS-6998,[HK/Phoenix] Review clients not finish client merge,Medium,To Do,GAP,,,11/5/24 16:16,Dorothy Lo,62f606ecda8620d533958439,2,2026.1,,Kenive Chan,5fc8254f78f018007680e85d,,,
Operational Support,AWAMWRS-4536,1520138,API support for updating date_closed column in WRS Accounts Table,3410635,AWAMWRS-9120,WRS Tech items 26Q1 (Tech Debt/ Performance Tuning/ Tech Testing,TBD,To Do,,,,10/4/24 9:41,John Paul Fajardo,6376d4c29e48f2b9a6110e7f,,2026.1,,Rozwel Li,712020:5961d129-51ae-4822-ae22-dfed75571365,,,
