Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Story,AWAMWRS-9111,3407475,[HK/BAU] Additional info to include in Poseidon for email notification of inactive/dormant/non-activated accounts part2,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,High,Done,3.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,0.0,86400.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,3.0,0.0,57600.0,0.0,2.0,0.0,3.0
Task,AWAMWRS-8740,3064621,[HK] Re-enable Automated Emails for KYC Reactivation,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,High,Done,3.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,0.0,86400.0,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,,3.0,0.0,212400.0,0.0,7.375,0.0,3.0
Task,AWAMWRS-9334,3602015,[HK/SG] WRS release 20260202,,,,TBD,Done,2.0,Faye,62d070fabb346bdf82faed3a,0.0,57600.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,2.0,,0.0,,0.0,0.0,2.0
Story,AWAMWRS-9103,3386547,[HK/Phoenix] Amend the UI of Account Level Documents under edit mode of Individual Maintenance,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,TBD,In progress,8.0,Faye,62d070fabb346bdf82faed3a,57600.0,172800.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,8.0,57600.0,172800.0,2.0,6.0,2.0,6.0
Story,AWAMWRS-9413,3673813,[HK] WRS Phoenix - Fix missing warning checking per existing active pending task ,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Critical,Validating,2.0,Faye,62d070fabb346bdf82faed3a,28800.0,28800.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,2.0,28800.0,28800.0,1.0,1.0,1.0,1.0
Story,AWAMWRS-9339,3603143,[HK/Phoenix] Remove the original value and highlight for RPQ tab in maintenance in one go and RPQ-reassessments,3581294.0,AWAMWRS-9312,[HK/Phoenix] Support to including all tabs in one maintenance or tab maintenance separately,High,Validating,3.0,Faye,62d070fabb346bdf82faed3a,28800.0,57600.0,02 WRS.Sprint.2026.Feb.6,,,,,,,,,,,,3.0,28800.0,57600.0,1.0,2.0,1.0,2.0
Story,AWAMWRS-7783,2298859,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,1767029.0,AWAMWRS-6257,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Phoenix Client Profile Tab Fields Update​,Critical,Validating,19.0,Faye,62d070fabb346bdf82faed3a,28800.0,604800.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,19.0,28800.0,604800.0,1.0,21.0,1.0,21.0
Story,AWAMWRS-9012,3239984,[HK/Phoenix] Individual - Create the UI of Individual Client Document List Tab,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,5.0,Faye,62d070fabb346bdf82faed3a,14400.0,144000.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,5.0,14400.0,144000.0,0.5,5.0,0.5,5.0
Story,AWAMWRS-8658,2965781,[HK/Phoenix] Individual onboarding and maintenance - Enhance the Phoenix B/E Logic  to support ,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,5.0,Faye,62d070fabb346bdf82faed3a,14400.0,144000.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,5.0,14400.0,144000.0,0.5,5.0,0.5,5.0
Story,AWAMWRS-5770,1691012,[HK/Phoenix] All in one maintenance implementation,3581294.0,AWAMWRS-9312,[HK/Phoenix] Support to including all tabs in one maintenance or tab maintenance separately,Critical,Validating,22.0,Faye,62d070fabb346bdf82faed3a,14400.0,705600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,,,,,,,,22.0,14400.0,705600.0,0.5,24.5,0.5,24.5
